,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",Total Trihalomethanes
10,08-16-CKS-12,Tap Water,8/16/2023 3:46,,-156.30635200208613,20.906044564727555,,,,,,,,,,,,2.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
11,08-23-CKS-21A,Tap Water,8/23/2023 10:50,,-156.30997882546052,20.77717369782025,,,,,,,,18.3558,,3.0291,,,,,,,,10.5283,,,,216.9879,1.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6109
12,08-23-CKS-21B,Pool/open water,8/23/2023 11:09,,-156.31037535008812,20.773995643267785,,,,,,,,23.6879,,,,,,,,,,,,,,,8.1149,,,,,,,,,,,2.349,,,,,,,,,,,1.1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5982
13,08-23-CKS-22,Tap Water,8/23/2023 14:12,,-156.31418447940584,20.78196940624525,,,,,,,,8.8989,,,,,,,,,,,,,,,25.3836,,,,,,,,,,,6.2686,,,,,,,,,,,2.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.010000000000005
14,08-23-CKS-23,Tap Water,8/23/2023 14:41,,-156.30865735342226,20.776755669380744,,,,,,,,8.9012,,,,,,,,,,,,,,,26.4337,,,,,,,,,,,7.1684,,,,,,,,,,,2.7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3754
15,08-23-CKS-CHRIS BLANK,,8/23/2023,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
16,08-25-CKS-32,Tap Water,8/25/2023 13:04,,-156.30921068397106,20.77778100171179,,,,,,,,18.889,,,,1.5702,,,,,,,,,,,23.8827,,,,,,,,,,,4.624,,,,,,,,,,,1.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7887
17,08-25-CKS-33,Tap Water,8/25/2023 13:04,,-156.3077543205808,20.7760545933804,,,,,,,,15.3631,,,,1.4309,,,,,,,,,,,27.1288,,,,,,,,,,,5.8192,,,,,,,,,,,1.8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8086
18,08-25-CKS-34,Tap Water Filtered,8/25/2023 13:04,,-156.3090481941611,20.77655186226943,,,,,,,,3.5737,,,,1.5852,,,,,,,,,,,3.8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8005
19,08-25-CKS-35,Tap Water,8/25/2023 13:04,,-156.31124145781675,20.77531175178161,,,,,,,,10.9497,,,,1.8244,,,,,,,,,,,33.4709,,,,,,,,,,,4.6644,,,,,,,,,,,1.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3491
20,08-29-CKS-41,Tap Water,8/29/2023 9:43,,-156.3203110405139,20.75948736561695,,,,,,,,41.9139,,,,,,,,,,,,,,,50.3204,,,,,,,,,,,7.7174,,,,,,,,,,,2.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0942
21,08-29-CKS-42,Tap Water,8/29/2023 10:47,,-156.39497989675664,20.666599705294725,,,,,,,,47.4081,,,,,,,,,,,,,,,41.1086,,,,,,,,,,,7.8614,,,,,,,,,,,2.3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3098
22,08-29-CKS-43,Tap Water,8/29/2023 11:18,,-156.40150501176143,20.648907839146474,,,,,,,,,,,,,,,,,,,,,,,41.8076,,,,,,,,,,,8.6972,,,,,,,,,,,2.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3686
23,08-29-CKS-44,Tap Water Filtered,8/29/2023 11:30,,-156.4009335591022,20.6489144437884,,,,,,,,,,,,,,,,,,,,,,,2.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1127
24,08-29-CKS-51,Tap Water,8/29/2023 11:08,,-156.30204720165324,20.77917585640788,,,,,,,,4.658,,,,,,,,,,,,,,,29.6559,,,,,,,,,,,6.8627,,,,,,,,,,,2.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7999
25,08-29-CKS-52,Tap Water,8/29/2023 11:42,,-156.30746466450256,20.771979354188154,,,,,,,,33.5458,,,,,,,,,,,,,,,47.8843,,,,,,,,,,,6.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.569
26,08-29-CKS-53,Tap Water,8/29/2023 12:12,,-156.30968304266597,20.78096470978341,,,,,,,,6.8464,,,,,,,,,,,,,,,24.1796,,,,,,,,,,,4.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6368
27,08-29-CKS-54,Tap Water,8/29/2023 13:57,,-156.30540405376664,20.774225670383856,,,,,,,,7.4621,,,,,,,,,,,,,,,26.5723,,,,,,,,,,,6.84,,,,,,,,,,,2.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.740399999999994
28,08-29-CKS-55,Tap Water,8/29/2023 14:14,,-156.3072369361153,20.78100109260714,,,,,,,,21.6226,,,,,,,,,,,,,,,31.8395,,,,,,,,,,,7.3367,,,,,,,,,,,2.4234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5996
29,56,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
30,8-30-23-KELLIE-1,Tap Water,8/30/2023 11:53,,-156.30663959882375,20.767396828657315,,,,,,,,6.1419,,,,,,,,,,,,,,,38.214,,,,,,,,,,,4.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3167
31,8-30-23-KELLIE-2,Tap Water,8/30/2023 12:37,,-156.30210366918368,20.768873839319497,,,,,,,,29.518,,,,,,,,,,,,,,,28.7934,,,,,,,,,,,3.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.549499999999995
32,8-30-23-KELLIE-3,Tap Water,8/30/2023 12:41,,-156.30348200397185,20.76735388968421,,,,,,,,87.7429,,,,,,,,,,,,,,,86.2655,,,,,,,,,,,6.8312,,,,,,,,,,,2.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2372
33,8-30-23-KELLIE-4,Tap Water,8/30/2023 13:36,,-156.3030671124055,20.772520248397228,,,,,,,,15.4507,,,,,,,,,,4.9808,,,,2.2292,52.5739,,,,,,,,,,,8.0327,,,,,,,,,,,2.0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.686400000000006
34,8-30-23-KELLIE-6,Tap Water,8/30/2023 19:07,,-156.3164801895477,20.76916788373604,,,,,,,,90.5958,,,,,,,,,,,,,,,47.9583,,,,,,,,,,,5.3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3484
35,C-1,,8/20/2023 12:17,,-156.31978668805615,20.75333292517316,,,,,,,,53.8494,,,,,,,,,,,,,,,24.4177,,,,,,,,,,,6.6456,,,,,,,,,,,2.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6841
36,D-1,,8/20/2023 13:12,,-156.32588953751718,20.76313581636463,,,,,,,,30.5526,,,,,,,,,,,,,,,47.0307,,,,,,,,,,,8.0918,,,,,,,,,,,2.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0326
37,F-1,,8/20/2023 15:53,,-156.2941004344521,20.822421530015763,,,,,,,,35.1077,,,,,,,,,,38.1744,,,,81.3602,1.6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6467
38,G-1,,8/20/2023 16:12,N,,,,,,,,,,18.8895,,,,,,,,,,,,,,,1.4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4973
39,H-1,,8/21/2023 16:22,N,,,,,,,,,,37.8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
40,S-1,,8/21/2023 14:55,,-156.6690041372596,20.88966551618635,,,,,,,,178.8044,,,,,,,,,,,,,,,7.891,,,,,,,,,,,5.1919,,,,,,,,,,,2.7788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8617
41,T-1,,8/21/2023 7:54,,-156.32767754710068,20.750745908753625,,,,,,,,161.4542,,,,,,,,,,,,,,,22.018,,,,,,,,,,,6.7952,,,,,,,,,,,2.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4339
42,U-1,,8/21/2023 16:19,,-156.68202691844695,20.89950407140758,,,,,,,,166.6164,,,,,,,,,,,,,,,24.236,,,,,,,,,,,10.8648,,,,,,,,,,,3.5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6477
43,V-1,,8/21/2023 16:53,,-156.68545781637832,20.90225153530325,,,,,,,,164.8219,,,,,,,,,,,,,,,28.5248,,,,,,,,,,,13.4991,,,,,,,,,,,5.3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3274
44,W-1,,8/20/2023 20:44,,-156.3256025293451,20.759441243553123,,,,,,,,101.3018,,,,,,,,,,,,,,,22.1611,,,,,,,,,,,2.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.68
45,X-1,,8/20/2023,,-156.33509119873145,20.78215790722341,,,,,,,,20.0593,,,,,,,,,,,,,,,25.0608,,,,,,,,,,,5.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.462
46,09-01-CKS-61,Tap Water,9/1/2023 16:19,,-156.66561154678416,20.88856412316118,,,,,,,,,,,,,,,,,,,,,,,10.7601,,,,,,,,,,,2.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2333
47,09-01-CKS-62,Tap Water,9/1/2023 16:30,,-156.66445734298065,20.88529896177045,,,,,,,,,,,,,,,,,,,,,1.0367,,19.2347,,,,,,,,,,,7.7422,,,,,,,,,,,3.2617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.238599999999998
48,09-01-CKS-63,Tap Water,9/1/2023 17:03,,-156.66105712511686,20.85447933825288,,,,,,,,150.2532,,,,,,,,,,282.9737,,,,189.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081,,,,,,,,,,,,,,,,,,,,,,,,,,5.9081
49,09-01-CKS-64,Other,9/1/2023 17:07,,-156.65718346222246,20.85352857247859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
50,9-1-23-KELLIE-1,Tap Water,9/1/2023 13:22,,-156.36269511100497,20.711572429307303,,,,,,,,94.3832,,,,,,,,,,,,,,,43.7588,,,,,,,,,,,8.6495,,,,,,,,,,,2.5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9536
51,9-1-23-KELLIE-2,Tap Water,9/1/2023 14:54,,-156.30744235666683,20.771364339492443,,,,,,,,18.6133,,,,,,,,,,,,,,,22.0473,,,,,,,,,,,4.981,,,,,,,,,,,2.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0774
52,9-1-23-KELLIE-3,Tap Water,9/1/2023 14:57,,-156.2987708616432,20.77010628123477,,,,,,,,28.1821,,,,,,,,,,,,,,,55.0339,,,,,,,,,,,8.7142,,,,,,,,,,,2.7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5253
53,9-8-KDP-1,Tap Water,9/8/2023 14:23,,-156.32968889200953,20.76277774335897,,,,,,,,7.6458,,,,,,,,,,,,,,,47.9921,,,,,,,,,,,8.4607,,,,,,,,,,,2.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1867
54,9-8-KDP-2,Tap Water,9/8/2023 14:33,,-156.32717476612183,20.760291825878223,,,,,,,,18.2349,,,,,,,,,,,,,,,31.3874,,,,,,,,,,,4.4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8057
55,9-8-KDP-3,Tap Water,9/8/2023 14:52,,-156.32985154202964,20.76332879395464,,,,,,,,20.3123,,,,,,,,,,,,,,,32.4315,,,,,,,,,,,7.4795,,,,,,,,,,,2.6985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6095
56,9-8-KDP-4,Tap Water,9/8/2023 15:10,,-156.32584971526634,20.75942246226021,,,,,,,,33.6507,,,,,,,,,,,,,,,34.4919,,,,,,,,,,,7.7328,,,,,,,,,,,2.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0734
57,09-11-KDP-1,Tap Water,9/11/2023 13:50,,,,,,,,,,,24.9456,,,,,,,,,,,,,,,20.0432,,,,,,,,,,,3.6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6531
58,09-11-KDP-2,Tap Water,9/11/2023 16:16,,-156.3268791150286,20.75809627002604,,,,,,,,42.3797,,,,,,,,,,,,,,,37.7502,,,,,,,,,,,7.1232,,,,,,,,,,,2.6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.564
59,09-11-KDP-3,Tap Water,9/11/2023 16:32,,-156.3250963223409,20.759171866897983,,,,,,,,51.1349,,,,,,,,,,,,,,,22.5192,,,,,,,,,,,6.7336,,,,,,,,,,,3.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6374
60,9-12-CKS-1,Tap Water,9/12/2023 12:22,,-156.68223973561072,20.898844413415038,,,,,,,,35.7756,,,,,,,,,,,,,,,38.878,,,,,,,,,,,16.8789,,,,,,,,,,,7.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8759
61,9-12-CKS-2,Tap Water,9/12/2023 12:38,,-156.67891411278026,20.903458634512763,,,,,,,,31.6132,,,,,,,,,,,,,,,37.0073,,,,,,,,,,,14.7643,,,,,,,,,,,5.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9173
62,9-12-CKS-3,Tap Water,9/12/2023 12:59,,-156.68200721133715,20.89925064716836,,,,,,,,17.3274,,,,,,,,,,,,,,,34.6152,,,,,,,,,,,13.5636,,,,,,,,,,,4.6346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8134
63,9-12-CKS-4,Tap Water,9/12/2023 13:10,,-156.68420935284075,20.902000057801462,,,,,,,,31.4515,,,,,,,,,,,,,,,28.3397,,,,,,,,,,,12.0447,,,,,,,,,,,6.5497,,,,,,,,3.6203,,,,,,,,,,,,,,,,,,,,,,,,,,50.5544
64,09-12-KDP-1,Tap Water,9/12/2023 13:02,,-156.32609826357256,20.789553267804493,,,,,,,,22.0753,,,,,,,,,,,,,,,15.7895,,,,,,,,,,,5.6799,,,,,,,,,,,3.2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6801
65,09-12-KDP-2,Tap Water,9/12/2023 13:42,,-156.3194695370247,20.786851999070397,,,,,,,,12.1531,,,,,,,,,,,,,,,11.0503,,,,,,,,,,,5.9102,,,,,,,,,,,3.9291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8896
66,09-12-KDP-3,Tap Water,9/12/2023 13:47,,-156.32259435052492,20.79194423928067,,,,,,,,12.9927,,,,,,,,,,,,,,,14.7275,,,,,,,,,,,6.7532,,,,,,,,,,,4.2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7121
67,9-14-CKS-1,Tap Water,9/14/2023 12:02,,-156.68152138410585,20.88615931006522,,,,,,,,56.2841,,,,,,,,,,,,,,,21.0227,,,,,,,,,,,12.8865,,,,,,,,,,,7.818,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,,,,,43.7376
68,9-14-CKS-2,Tap Water,9/14/2023 12:29,,-156.66330968165272,20.886485713350574,,,,,,,,49.9909,,,,,,,,,,,,,,,8.1223,,,,,,,,,,,6.0837,,,,,,,,,,,3.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.887
69,9-14-CKS-3,Tap Water,9/14/2023 13:07,,-156.68815775419606,20.90256965959067,,,,,,,,10.8452,,,,,,,,,,,,,,,20.8773,,,,,,,,,,,12.128,,,,,,,,,,,14.7821,,,,,,,,26.4982,,,,,,,,,,,,,,,,,,,,,,,,,,74.2856
70,9-14-CKS-4,Tap Water,9/14/2023 13:21,,-156.6823635401338,20.89964861191241,,,,,,,,77.3711,,,,,,,,,,,,,,,44.1945,,,,,,,,,,,19.3194,,,,,,,,,,,10.595,,,,,,,,3.8466,,,,,,,,,,,,,,,,,,,,,,,,,,77.9555
71,9-14-CKS-5,Tap Water,9/14/2023 14:23,,-156.68266302921413,20.902339839804966,,,,,,,,26.4427,,,,,,,,,,,,,,,24.7314,,,,,,,,,,,13.8276,,,,,,,,,,,11.9015,,,,,,,,9.065,,,,,,,,,,,,,,,,,,,,,,,,,,59.5255
72,09-14-CKS-6,Tap Water,9/14/2023 14:55,,-156.6879823822278,20.900226849794223,,,,,,,,19.492,,,,,,,,,,,,,,,30.8509,,,,,,,,,,,16.2542,,,,,,,,,,,9.631,,,,,,,,3.7042,,,,,,,,,,,,,,,,,,,,,,,,,,60.4403
73,09-14-JJ-1,Tap Water,9/14/2023 15:56,,-156.32144830909124,20.813848415150552,,,,,,,,9.9644,,,,,,,,,,,,,,,17.3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3102
74,09-14-JJ-2,Tap Water,9/14/2023 15:59,,-156.3238620921071,20.78777243549921,,,,,,,,44.1191,,,,,,,,,,,,,,,14.9611,,,,,,,,,,,4.5294,,,,,,,,,,,2.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5494
75,9-14-CKS-8,Tap Water,9/14/2023 16:44,,-156.68511518258583,20.901035715855937,,,,,,,,35.0683,,,,,,,,,,,,,,,26.6203,,,,,,,,,,,15.8895,,,,,,,,,,,13.0527,,,,,,,,9.4304,,,,,,,,,,,,,,,,,,,,,,,,,,64.99289999999999
76,09-14-JJ-3,Tap Water,9/14/2023 17:26,,-156.32199668997202,20.791564223447697,,,,,,,,61.4747,,,,,,,,,,,,,,,7.6791,,,,,,,,,,,3.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9403
77,09-14-JJ-4,Tap Water Filtered,9/14/2023 17:27,,-156.32192422561033,20.79112043449874,,,,,,,,24.1723,,,,,,,,,,,,,,,14.8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8801
78,09-14-KDP-1,Tap Water,9/15/2023 11:58,,-156.3392020732865,20.75257630630001,,,,,,,,14.7998,,,,,,,,,,,,,,,7.9832,,,,,,,,,,,5.5203,,,,,,,,,,,4.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5806
79,09-14-KDP-2,Tap Water,9/15/2023 12:15,,-156.33368463156174,20.75581148802452,,,,,,,,9.2055,,,,,,,,,,,,,,,28.663,,,,,,,,,,,4.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8793
80,09-14-KDP-3,Tap Water,9/15/2023 12:43,,-156.33052643078264,20.75264522694203,,,,,,,,9.7513,,,,,,,,,,,,,,2.8817,7.4954,,,,,,,,,,,2.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6406
81,09-14-KDP-4,Tap Water,9/15/2023 12:55,,-156.3288152448417,20.75212858890845,,,,,,,,10.5962,,,,,,,,,,,,,,,6.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5544
82,09-14-KDP-5,Tap Water,9/15/2023 13:00,,,,,,,,,,,5.1135,,,,,,,,,,,,,,,38.2884,,,,,,,,,,,9.7821,,,,,,,,,,,4.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8888
83,09-18-KDP-1,Tap Water,9/18/2023 4:05,,-156.30607870907704,20.77825096217476,,,,,,,,15.5967,,,,,,,,,,,,,,,27.6707,,,,,,,,,,,7.4033,,,,,,,,,,,3.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1167
