Sample ID,Location,DateTime Taken,,,,,,,,,,,
9-12-CKS-3 ," West Aipuni Place, Lahaina, HI",9/12/2023 12:59,,,,,,,,,,,
9-12-CKS-4," Ainakea st. Lahaina, HI",9/12/2023 13:10,,,,,,,,,,,
09-12-KDP-1, Lower Kula Road,9/12/2023 13:02,,,,,,,,,,,
09-12-KDP-2, Kawalea Pl Kula HI  United States,9/12/2023 13:42,,,,,,,,,,,
9-14-Cks-1," keawe, suite  Lahaina ",9/14/2023 12:02,,,,,,,,,,,
9-14-CKS-2 , liloa st Lahaina ,9/14/2023 12:29,,,,,,,,,,,
9-14-Cks-3, W Aipuni ,9/14/2023 13:07,,,,,,,,,,,
9-14-CKS-4, Wahinoho Way Lahaina ,9/14/2023 13:21,,,,,,,,,,,
9-14-Cks-5, whinoho wy,9/14/2023 14:23,,,,,,,,,,,
09-14-Cks-6, w Aipuni pl. ,9/14/2023 14:55,,,,,,,,,,,
09-14-JJ-1, Hoopalua st,9/14/2023 15:56,,,,,,,,,,,
09-14-JJ-2, lower Kula ,9/14/2023 15:59,,,,,,,,,,,
9-14-CKS-9, Whinoho way,9/14/2023 16:44,,,,,,,,,,,
09-14-JJ-3, Mano dr,9/14/2023 17:26,,,,,,,,,,,
09-14-JJ-4, Mano dr,9/14/2023 17:27,,,,,,,,,,,
