,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",Total trihalomethanes (TTHMs)
83,09-19-KDP-1,Tap Water,9/19/2023 12:25:08,,-156.3291603319116,20.755718509312352,,,,,,,,9.1831,,,,,,,,,,,,,,109.8697,71.403,,,,,,,,,,,6.9835,,,,,,,,,,,2.2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.59530000000001
84,09-19-KDP-2,Tap Water Filtered,9/19/2023 12:26:34,,-156.32981552522546,20.755181771721375,,,,,,,,,,,,,,,,,,,,,,,40.3512,,,,,,,,,,,4.3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6684
85,09-18-KDP-2,Tap Water Filtered,9-18-23 4:10:00 PM,,-156.30520992859022,20.77803159226565,,,,,,,,,,,,,,,,,,,,,,,7.7703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7703
86,09-18-KDP-3,Pool/open water,9-18-23 4:15:00 PM,,-156.3095287466044,20.77592214357086,,,,,,,,10.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
87,09-19-KDP-3,Tap Water,9/19/2023 13:33:04,,-156.306727272376,20.77798278329246,,,,,,,,11.6492,,,,,,,,,,,,,,,12.1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1458
88,09-19-KDP-4,Tap Water Filtered,9/19/2023 13:35:10,,-156.30667049941675,20.77804183124244,,,,,,,,,,,,,,,,,,,,,,,6.5393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5393
89,09-19-KDP-5,Tap Water Filtered,9/19/2023 13:37:37,,-156.30391155454888,20.774389764151785,,,,,,,,6.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
90,09-22-KDP-3,Tap Water,9/22/2023 14:05:40,,-156.3303748599226,20.73903687160969,,,,,,,,17.6695,,,,,,,,,,,,,,,14.7691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7691
91,09-22-KDP-4,Tap Water,9/22/2023 14:47:39,,-156.30267427678294,20.75738345018076,,,,,,,,,,,,,,,,,,,,,,,11.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9323
92,09-22-KDP-5,Tap Water,9/22/2023 14:49:46,,-156.30995005978164,20.77715294761833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0653,,,,,,,,,,,4.6744,,,,,,,,7.3138,,,,,,,,,,,,,,,,,,,,,,,,,,14.0535
93,09-22-KDP-1,Tap Water,9/22/2023 14:50:58,,-156.30759529479062,20.77562072812548,,,,,,,,6.4024,,,,,,,,,,,,,,11.3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
94,09-22-KDP-2,Tap Water Filtered,9/22/2023 14:51:44,,-156.31080644170635,20.778657758682492,,,,,,,,25.874,,,,,,,,,,,,,,5.3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
95,09-22-KDP-6,Tap Water,9/22/2023 15:10:57,,-156.30587063355858,20.758415719247857,,,,,,,,13.2604,,,,,,,,,,,,,,,3.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1988
96,09-22-KDP-7,Tap Water,9/22/2023 15:37:53,,-156.30676373999654,20.761002934933188,,,,,,,,12.6027,,,,,,,,,,,,,,,74.2369,,,,,,,,,,,6.9603,,,,,,,,,,,2.7307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.92790000000001
97,09-22-KDP-8,Tap Water Filtered,9/22/2023 15:39:07,,-156.30945679783568,20.760749827110644,,,,,,,,3.8066,,,,,,,,,,,,,,,24.0958,,,,,,,,,,,2.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0548
98,09-22-KDP-9,Tap Water Filtered,9/22/2023 16:11:21,,-156.30710621037497,20.762261874690093,,,,,,,,,,,,,,,,,,,,,,,11.6605,,,,,,,,,,,2.1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.851400000000002
99,09-22-KDP-10,Tap Water Filtered,9/22/2023 16:12:40,,-156.30579576493415,20.76170798193248,,,,,,,,,,,,,,,,,,,,,,,10.2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2228
100,09-25-KDP-1,Tap Water Filtered,9/25/2023 14:12:21,,-156.3058019523256,20.760757035514654,,,,,,,,9.2009,,,,,,,,,,,,,,,4.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4324
101,09-25-KDP-2,Tap Water,9/25/2023 14:30:28,,-156.30132256062734,20.760280488564938,,,,,,,,,,,,,,,,,,10.0282,,,,12.8605,10.8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8977
102,09-25-KDP-3,Tap Water,9/25/2023 15:10:37,,-156.3120262926036,20.77620498150107,,,,,,,,,,,,,,,,,,,,,,,31.2233,,,,,,,,,,,8.0684,,,,,,,,,,,3.1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4775
103,09-25-KDP-4,Tap Water Filtered,9/25/2023 15:11:44,,-156.30805637915068,20.772884043693097,,,,,,,,12.4881,,,,,,,,,,,,,,,27.8262,,,,,,,,,,,6.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5522
104,09-25-KDP-5,Tap water,9/25/2023 15:29:39,,-156.31036890675412,20.774021206145132,,,,,,,,,,,,,,,,,,,,,,,28.355,,,,,,,,,,,5.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3743
105,09-25-KDP-6,Tap Water Filtered,9/25/2023 15:31:13,,-156.31109634362193,20.77367055335137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
106,09-26-JI-1,Tap Water,9/26/2023 9:37:03,,-156.68013262709852,20.90116932162488,,,,,,,,13.2191,,,,,,,,,,,,,,,39.3599,,,,,,,,,,,16.2939,,,,,,,,,,,12.0569,,,,,,,,7.2331,,,,,,,,,,,,,,,,,,,,,,,,,,74.94380000000001
107,09-26-JI-3,Tap Water,9/26/2023 10:00:29,,-156.67989309870617,20.8990386155032,,,,,,,,,,,,,,,,,,,,,,,35.7749,,,,,,,,,,,14.8348,,,,,,,,,,,10.5622,,,,,,,,6.6803,,,,,,,,,,,,,,,,,,,,,,,,,,67.85220000000001
108,09-26-JI-4,Tap Water,9/26/2023 10:10:43,,-156.68295730947864,20.902329568458704,,,,,,,,,,,,,,,,,,,,,,,35.4002,,,,,,,,,,,15.3078,,,,,,,,,,,11.2005,,,,,,,,8.0116,,,,,,,,,,,,,,,,,,,,,,,,,,69.92009999999999
109,09-26-JI-5,Tap Water,9/26/2023 10:22:00,,-156.68129758713883,20.90246080259808,,,,,,,,5.1842,,,,,,,,,,,,,,,45.0083,,,,,,,,,,,17.1247,,,,,,,,,,,10.2074,,,,,,,,4.4864,,,,,,,,,,,,,,,,,,,,,,,,,,76.82679999999999
110,09-26-JI-6,Tap Water,9/26/2023 10:32:20,,-156.68601626823266,20.89851537044844,,,,,,,,8.4825,,,,,,,,,,,,,,,45.5372,,,,,,,,,,,3.054,,,,,,,,,,,2.2391,,,,,,,,2.3477,,,,,,,,,,,,,,,,,,,,,,,,,,53.178
111,9-26-JI-7,Other,9/26/2023 10:47:48,,-156.68558368381238,20.89868108793691,,,,,,,,43.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0749,,,,,,,,,,,,,,,,,,,,,,,,,,2.0749
112,9-26-JI-8,,9/26/2023 10:49:05,,-156.68332501076816,20.902306908965596,,,,,,,,83.4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
113,9-26-JES-1,Tap Water,9/26/2023 13:18:42,,-156.68576947519952,20.949263636707133,,,,,,,,11.2181,,,,,,,,,,,,,,,38.3394,,,,,,,,,,,11.283,,,,,,,,,,,4.5442,,,,,,,,2.1407,,,,,,,,,,,,,,,,,,,,,,,,,,56.3073
114,9-26-JES-2,Tap Water,9/26/2023 14:08:57,,-156.6845366160721,20.952796435606995,,,,,,,,4.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5339,,,,,,,,,,,,,,,,,,,,,,,,,,2.5339
115,09-26-JES-3,Tap Water Filtered,9/26/2023 14:14:51,,-156.68494392323535,20.956649825841712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
116,09-26-KDP-1,Tap Water,9/26/2023 14:20:42,,-156.30879432713766,20.76250136167355,,,,,,,,12.403,,,,,,,,,,,,,,,3.8735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8735
117,09-26-KDP-2,Tap Water,9/26/2023 16:25:20,,-156.3094172477288,20.779013908301906,,,,,,,,6.9647,,,,,,,,,,,,,,,62.9747,,,,,,,,,,,7.728,,,,,,,,,,,2.0611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7638
118,09-26-KDP-3,Tap Water Filtered,9/26/2023 16:26:28,,-156.31251905065727,20.7772420651367,,,,,,,,5.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
119,09-27-KDP-1,Tap Water,9/27/2023 16:33:17,,-156.32866931351262,20.743941188065826,,,,,,,,,,,,,,,,,,,,,,,3.9108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9108
120,09-27-KDP-2,Tap Water Filtered,9/27/2023 16:34:38,,-156.33203449750653,20.74755267953392,,,,,,,,8.71,,,,,,,,,,,,,,,4.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6296
121,09-27-KDP-3,Tap Water,9/27/2023 16:37:09,,-156.30768878826947,20.7819851418613,,,,,,,,6.9206,,,,,,,,,,,,,,,29.3274,,,,,,,,,,,6.3591,,,,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6969
122,09-27-KDP-4,Tap Water Filtered,9/27/2023 16:38:21,,-156.31014959333382,20.779079283717692,,,,,,,,,,,,,,,,,,,,,,,25.9533,,,,,,,,,,,2.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7013
123,09-27-KDP-5,Tap Water Filtered,9/27/2023 16:39:30,,-156.3069281193121,20.778865806466055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
124,09-27-KDP-6,Tap Water,9/27/2023 16:51:59,,-156.31084180188577,20.778303955943297,,,,,,,,22.9134,,,,,,3.0089,,,,,,,,,45.3442,,,,,,,,,,,4.2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5788
125,09-27-KDP-8,Tap Water,9/27/2023 17:14:17,,-156.31188004751337,20.777030676153565,,,,,,,,,,,,,,,,,,,,,,,29.6341,,,,,,,,,,,4.8554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4895
126,09-27-KDP-7,Tap Water,9/27/2023 18:04:33,,-156.31242736864422,20.77421430372937,,,,,,,,,,,,,,,,,,,,,,,31.4044,,,,,,,,,,,5.5091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9135
127,09-27-KDP-9,Tap Water,9/27/2023 18:06:54,,-156.30943879591825,20.77649897423203,,,,,,,,7.4535,,,,,,,,,,,,,,,45.357,,,,,,,,,,,5.2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6456
128,09-27-KDP-10,Tap Water,9/27/2023 18:10:12,,-156.3120369069258,20.77983495689864,,,,,,,,,,,,,,,,,,,,,,,29.75,,,,,,,,,,,6.1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8643
129,10-02-23-JI-01,Tap Water,10/2/2023 11:20:24,,-156.6823473913467,20.90253225114079,,,,,,,,19.9001,,,,,,,,,,,,,,,29.9544,,,,,,,,,,,14.2141,,,,,,,,,,,12.6606,,,,,,,,11.0816,,,,,,,,,,,,,,,,,,,,,,,,,,67.91069999999999
130,10-02-23-JI-02,Tap Water,10/2/2023 11:35:07,,-156.68071202845977,20.901783252903588,,,,,,,,17.3977,,,,,,,,,,,,,,,31.8031,,,,,,,,,,,14.7462,,,,,,,,,,,12.606,,,,,,,,10.4679,,,,,,,,,,,,,,,,,,,,,,,,,,69.6232
131,10-02-23-JI-03,Tap Water,10/2/2023 11:51:01,,-156.6828773046005,20.897928898697938,,,,,,,,25.0865,,,,,,,,,,,,,,,34.1916,,,,,,,,,,,15.3867,,,,,,,,,,,12.1093,,,,,,,,8.0733,,,,,,,,,,,,,,,,,,,,,,,,,,69.76089999999999
132,10-02-23-JI-04,Tap Water Filtered,10/2/2023 12:02:08,,-156.6816566199775,20.90170373518265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
133,10-02-KDP-1,Tap Water,10/2/2023 15:20:28,,-156.30905056648197,20.777069079653774,,,,,,,,6.4531,,,,,,,,,,,,,,,41.194,,,,,,,,,,,4.8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0696
134,10-02-KDP-2,Tap Water Filtered,10/2/2023 16:09:07,,-156.30568468183856,20.7721208775933,,,,,,,,5.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
135,10-02-KDP-3,Tap Water Filtered,10/2/2023 16:10:40,,-156.3058099896342,20.7739842407762,,,,,,,,6.3017,,,,,,,,,,,,,,,12.6327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6327
136,10-02- KDP-4,Tap Water,10/2/2023 16:12:26,,-156.30779186047627,20.77497340246039,,,,,,,,8.7509,,,,,,,,,,,,,,,43.5208,,,,,,,,,,,5.8847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4055
137,10-02-KDP-5,Tap Water ,10/2/2023 16:30:00,,-156.31562072482967,20.782119771035255,,,,,,,,20.6346,,,,,,,,,,,,,,,37.1726,,,,,,,,,,,4.5982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7708
138,10-02-KDP-6,Tap Water,10/2/2023 16:49:14,,-156.31886761152347,20.78349273615992,,,,,,,,16.7863,,,,,,,,,,,,,,,33.4206,,,,,,,,,,,5.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7415
139,10-02-KDP-7,Tap Water Filtered,10/2/2023 16:51:10,,-156.31631494568134,20.78296424662008,,,,,,,,,,,,,,,,,,,,,,,16.3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3141
140,10-2-KDP-8,Tap Water,10/2/2023 17:05:59,,-156.3158265062442,20.77972587925642,,,,,,,,,,,,,,,,,,,,,,,36.9577,,,,,,,,,,,3.4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.441500000000005
141,10-02-KDP-9,Tap Water,10/2/2023 17:18:44,,-156.31665979109002,20.785201878605893,,,,,,,,29.1084,,,,,,,,,,,,,,,46.8263,,,,,,,,,,,4.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7723
142,10-02-KDP-10,Tap Water,10/2/2023 18:39:03,,-156.30337843899196,20.778499467386467,,,,,,,,33.9091,,,,,,,,,,,,,,,44.6607,,,,,,,,,,,5.2377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.898399999999995
143,10-02-KDP-11,Tap Water Filtered,10/2/2023 18:40:33,,-156.30079913559172,20.777988627701507,,,,,,,,22.0694,,,,,,,,,,,,,,,3.6568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6568
144,10-03-23-JI-01,Tap Water,10/3/2023 10:55:46,,-156.68223159726887,20.90176317794984,,,,,,,,52.5921,,,,,,,,,,,,,,,46.1346,,,,,,,,,,,14.9655,,,,,,,,,,,5.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.471
145,10-03-23-JI-02,Tap Water,10/3/2023 11:12:07,,-156.6784832301302,20.89931025959839,,,,,,,,74.8581,,,,,,,,,,,,,,,51.2503,,,,,,,,,,,7.3984,,,,,,,,,,,7.4977,,,,,,,,10.2007,,,,,,,,,,,,,,,,,,,,,,,,,,76.34710000000001
146,10-03-23-JI-03,Tap Water,10/3/2023 11:25:02,,-156.68287226475283,20.901656150649412,,,,,,,,29.1338,,,,,,,,,,,,,,,42.0963,,,,,,,,,,,14.5841,,,,,,,,,,,5.7177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3981
147,10-03-23-JI-04,Tap Water,10/3/2023 11:38:53,,-156.68131812670416,20.89915441273539,,,,,,,,18.2659,,,,,,,,,,,,,,,45.144,,,,,,,,,,,16.6517,,,,,,,,,,,7.9212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7169
148,10-03-23-JL-05,Tap Water,10/3/2023,,-156.6826406850128,20.89902798911429,,,,,,,,16.6751,,,,,,,,,,,,,,,47.3547,,,,,,,,,,,16.1942,,,,,,,,,,,6.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0409
149,10-03-JES-4,Tap Water Filtered,10/3/2023 11:45:10,,-156.68080833058653,20.959340014517387,,,,,,,,8.5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
150,10-03-JES-5,Tap Water,10/3/2023 11:46:47,,-156.68045129145625,20.95898115216225,,,,,,,,9.1156,,,,,,,,,,,,,,,20.9921,,,,,,,,,,,7.0426,,,,,,,,,,,4.131,,,,,,,,6.7671,,,,,,,,,,,,,,,,,,,,,,,,,,38.9328
151,10-03-JES-6,Tap Water,10/3/2023 12:09:51,,-156.66894461111232,20.98530328013936,,,,,,,,18.4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7371,,,,,,,,,,,,,,,,,,,,,,,,,,4.7371
152,10-03-JES-7,Tap Water Filtered,10/3/2023 12:15:54,,-156.67117569203182,20.986007334203673,,,,,,,,16.7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
153,10-03-JES-8,Tap Water Filtered,10/3/2023 13:05:35,,-156.66298867605926,20.989207629570092,,,,,,,,5.6749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
154,10-03-JES-9,Tap Water,10/3/2023 13:06:40,,-156.6623782835812,20.98473808293133,,,,,,,,18.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7214,,,,,,,,33.9244,,,,,,,,,,,,,,,,,,,,,,,,,,42.645799999999994
155,10-03-JES-10,Tap Water,10/3/2023 14:01:25,,-156.63519183401752,20.848200399291677,,,,,,,,9.6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5504,,,,,,,,,,,,,,,,,,,,,,,,,,5.5504
156,10-03-JES-11,Tap Water Filtered,10/3/2023 14:02:46,,-156.63529571460293,20.85042409382312,,,,,,,,7.1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
157,10-03-JES-12,Tap Water Filtered,10/3/2023 14:28:51,,-156.63526986627613,20.84885033249445,,,,,,,,7.6462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8072,,,,,,,,,,,,,,,,,,,,,,,,,,5.8072
158,10-03-JES-13,Tap Water,10/3/2023 14:30:36,,-156.63161662761885,20.849944114409507,,,,,,,,12.6889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4084,,,,,,,,,,,,,,,,,,,,,,,,,,5.4084
159,10-03-JES-14,Tap Water,10/3/2023 15:07:44,,-156.6768470565232,20.877219864475833,,,,,,,,10.6154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9138,,,,,,,,,,,,,,,,,,,,,,,,,,6.9138
160,10-03-JES-17,Tap Water Filtered,10/3/2023 16:23:16,,-156.6860340902019,20.94925910178607,,,,,,,,7.9241,,,,,,,,,,,,,,,5.4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4407
161,10-03-JES-16,Tap Water,10/3/2023 16:24:30,,-156.68800285974325,20.951236481907657,,,,,,,,10.4144,,,,,,,,,,,,,,,40.3645,,,,,,,,,,,11.5777,,,,,,,,,,,2.8949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8371
162,10-04-JES-18,Tap Water Filtered,10/4/2023 10:16:37,,-156.6876091866162,20.948978990651447,,,,,,,,4.3604,,,,,,,,,,,,,,,43.9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9585
163,10-04-JES-19,Tap Water,10/4/2023 10:17:46,,-156.68947557803295,20.94578045003136,,,,,,,,34.7213,,,,,,,,,,,,,,,47.1421,,,,,,,,,,,12.2144,,,,,,,,,,,2.6545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.010999999999996
164,10-04-JES-20,Tap Water Filtered,10/4/2023 10:59:37,,-156.6797134705296,20.90111115624619,,,,,,,,9.5635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
165,10-04-JES-21,Tap Water,10/4/2023 11:01:14,,-156.67909032330337,20.898949598294905,,,,,,,,16.2398,,,,,,,,,,,,,,,44.9127,,,,,,,,,,,14.8015,,,,,,,,,,,5.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7449
166,10-04-JES-22,Tap Water,10/4/2023 12:11:17,,-156.67678018401915,20.8869049000902,,,,,,,,36.2476,,,,,,,,,,,,,,,17.5941,,,,,,,,,,,7.5303,,,,,,,,,,,2.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1202
167,10-04-JES-23,Tap Water Filtered,10/4/2023 12:17:36,,-156.67991972201523,20.886757138582016,,,,,,,,12.1856,,,,,,,,,,,,,,,5.6715,,,,,,,,,,,5.0853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7568
168,10-04-JES-24,Other,10/4/2023 13:00:00,,-156.63796211995952,20.84741043436699,,,,,,,,3.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
169,10-04-JES-25,Tap Water,10/4/2023 13:12:58,,-156.6414910709434,20.845930126023273,,,,,,,,6.0778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4699,,,,,,,,,,,,,,,,,,,,,,,,,,9.4699
170,10-04-KDP-1,Tap Water,10/4/2023 13:24:34,,-156.31205733126845,20.781068427443063,,,,,,,,,,,,,,,,,,,,,,,33.6554,,,,,,,,,,,4.4758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1312
171,10-04-KDP-2,Tap Water Filtered,10/4/2023 13:26:01,,-156.31223071337408,20.781998999333325,,,,,,,,11.4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
172,10-04-KDP-3,Tap Water,10/4/2023 14:36:43,,-156.32752389150718,20.79003758726337,,,,,,,,26.8618,,,,,,,,,,,,,,,32.8338,,,,,,,,,,,4.2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.102
